Timestamp,Business Name,Phone,Message Type,Status,Error Message,Message Preview,Retry Count,Duration (seconds)
2025-10-16T14:07:10.687101,Coffee Paradise,+12025551001,creation,success,,"Hello Coffee Paradise, I build affordable, professional websites for small busin",0,0.0
2025-10-16T14:07:12.688109,Tech Solutions Inc,+12025551002,enhancement,success,,"Hey Tech Solutions Inc, I checked out your website (https://techsolutions.com) —",0,0.0
2025-10-16T14:07:14.692690,Green Garden Restaurant,+12025551003,creation,success,,"Hello Green Garden Restaurant, I came across your business — it looks great! I s",0,0.0
2025-10-16T14:07:14.693030,Digital Marketing Pro,+12025551004,enhancement,success,,"Hi Digital Marketing Pro, your current site looks good, but a refreshed design c",0,0.0
2025-10-16T14:07:15.693858,Fitness Center Plus,+12025551005,enhancement,success,,"Hey Fitness Center Plus, I took a look at https://fitnessplus.com and see some o",0,0.0
2025-10-16T14:07:16.694124,Book Haven,+12025551006,creation,success,,"Hi Book Haven, your business sounds amazing! I help local brands like yours crea",0,0.0
2025-10-16T14:07:16.694177,Auto Repair Shop,+12025551007,creation,success,,"Hello Auto Repair Shop, I build affordable, professional websites for small busi",0,0.0
2025-10-16T14:07:16.694233,Fashion Boutique,+12025551008,enhancement,success,,"Hey Fashion Boutique, I took a look at https://fashionboutique.shop and see some",0,0.0
2025-10-16T14:07:16.694262,Pet Grooming Service,+12025551009,creation,success,,"Hello Pet Grooming Service, I build affordable, professional websites for small ",0,0.0
2025-10-16T14:07:17.694820,Home Cleaning Experts,+12025551010,enhancement,success,,"Hey Home Cleaning Experts, I took a look at https://cleanexperts.com and see som",0,0.0
2025-10-16T14:07:17.694913,Bad Website URL,+12025551012,creation,success,,"Hello Bad Website URL, I came across your business — it looks great! I specializ",0,0.0
