Timestamp,Business Name,Phone,Message Type,Status,Error Message,Message Preview,Retry Count,Duration (seconds)
2025-10-16T13:33:45.940253,Coffee Paradise,+12025551001,creation,success,,"Hello Coffee Paradise, I build affordable, professional websites for small busin",0,0.0
2025-10-16T13:33:47.943649,Tech Solutions Inc,+12025551002,enhancement,success,,"Hey Tech Solutions Inc, I checked out your website (https://techsolutions.com) —",0,0.0
2025-10-16T13:33:48.946634,Green Garden Restaurant,+12025551003,creation,success,,Hey Green Garden Restaurant! I noticed you don't have a website yet. In today's ,0,0.0
2025-10-16T13:33:49.949394,Digital Marketing Pro,+12025551004,enhancement,success,,"Hello Digital Marketing Pro, your website has potential! I help businesses moder",0,0.0
2025-10-16T13:33:50.952322,Fitness Center Plus,+12025551005,enhancement,success,,"Hey Fitness Center Plus, I checked out your website (https://fitnessplus.com) — ",0,0.0
2025-10-16T13:33:51.954788,Book Haven,+12025551006,creation,success,,"Hi Book Haven, we recently helped a similar business increase online leads by 40",0,0.0
2025-10-16T13:33:53.958402,Auto Repair Shop,+12025551007,creation,success,,"Hello Auto Repair Shop, I came across your business — it looks great! I speciali",0,0.0
2025-10-16T13:33:55.961695,Fashion Boutique,+12025551008,enhancement,success,,"Hey Fashion Boutique, I checked out your website (https://fashionboutique.shop) ",0,0.0
2025-10-16T13:33:55.963856,Pet Grooming Service,+12025551009,creation,success,,"Hello Pet Grooming Service, I came across your business — it looks great! I spec",0,0.0
2025-10-16T13:33:55.965480,Home Cleaning Experts,+12025551010,enhancement,success,,"Hey Home Cleaning Experts, I checked out your website (https://cleanexperts.com)",0,0.0
2025-10-16T13:33:55.967634,Bad Website URL,+12025551012,creation,success,,"Hello Bad Website URL, I build affordable, professional websites for small busin",0,0.0
