Timestamp,Business Name,Phone,Message Type,Status,Error Message,Message Preview,Retry Count,Duration (seconds)
2025-10-16T14:08:14.654260,Coffee Paradise,+12025551001,creation,success,,"Hi Coffee Paradise, we recently helped a similar business increase online leads ",0,0.0
2025-10-16T14:08:16.655795,Tech Solutions Inc,+12025551002,enhancement,success,,"Hey Tech Solutions Inc, I checked out your website (https://techsolutions.com) —",0,0.0
2025-10-16T14:08:17.656480,Green Garden Restaurant,+12025551003,creation,success,,"Hello Green Garden Restaurant, I build affordable, professional websites for sma",0,0.0
2025-10-16T14:08:18.656938,Digital Marketing Pro,+12025551004,enhancement,success,,"Hello Digital Marketing Pro, I saw your website and think it could attract even ",0,0.0
2025-10-16T14:08:20.658133,Fitness Center Plus,+12025551005,enhancement,success,,"Hi Fitness Center Plus, your current site looks good, but a refreshed design cou",0,0.0
2025-10-16T14:08:21.658593,Book Haven,+12025551006,creation,success,,"Hi Book Haven, your business sounds amazing! I help local brands like yours crea",0,0.0
2025-10-16T14:08:21.658679,Auto Repair Shop,+12025551007,creation,success,,"Hello Auto Repair Shop, I build affordable, professional websites for small busi",0,0.0
2025-10-16T14:08:23.659320,Fashion Boutique,+12025551008,enhancement,success,,"Hi Fashion Boutique, your current site looks good, but a refreshed design could ",0,0.0
2025-10-16T14:08:25.660177,Pet Grooming Service,+12025551009,creation,success,,"Hello Pet Grooming Service, I build affordable, professional websites for small ",0,0.0
2025-10-16T14:08:27.661217,Home Cleaning Experts,+12025551010,enhancement,success,,"Hey Home Cleaning Experts, I took a look at https://cleanexperts.com and see som",0,0.0
2025-10-16T14:08:27.661304,Bad Website URL,+12025551012,creation,success,,Hey Bad Website URL! I noticed you don't have a website yet. In today's digital ,0,0.0
