Timestamp,Business Name,Phone,Message Type,Status,Error Message,Message Preview,Retry Count,Duration (seconds)
2025-10-16T13:40:23.364596,Coffee Paradise,+12025551001,creation,success,,Hey Coffee Paradise! I noticed you don't have a website yet. In today's digital ,0,0.0
2025-10-16T13:40:24.365300,Tech Solutions Inc,+12025551002,enhancement,success,,"Hello Tech Solutions Inc, I saw your website and think it could attract even mor",0,0.0
2025-10-16T13:40:26.366330,Green Garden Restaurant,+12025551003,creation,success,,"Hi Green Garden Restaurant, your business sounds amazing! I help local brands li",0,0.0
2025-10-16T13:40:27.367312,Digital Marketing Pro,+12025551004,enhancement,success,,"Hello Digital Marketing Pro, I saw your website and think it could attract even ",0,0.0
2025-10-16T13:40:27.367489,Fitness Center Plus,+12025551005,enhancement,success,,"Hello Fitness Center Plus, I saw your website and think it could attract even mo",0,0.0
2025-10-16T13:40:29.368680,Book Haven,+12025551006,creation,success,,"Hi Book Haven, we recently helped a similar business increase online leads by 40",0,0.0
2025-10-16T13:40:31.370094,Auto Repair Shop,+12025551007,creation,success,,Hey Auto Repair Shop! I noticed you don't have a website yet. In today's digital,0,0.0
2025-10-16T13:40:32.370820,Fashion Boutique,+12025551008,enhancement,success,,"Hello Fashion Boutique, your website has potential! I help businesses modernize ",0,0.0
2025-10-16T13:40:34.372436,Pet Grooming Service,+12025551009,creation,success,,"Hello Pet Grooming Service, I build affordable, professional websites for small ",0,0.0
2025-10-16T13:40:36.373784,Home Cleaning Experts,+12025551010,enhancement,success,,"Hey Home Cleaning Experts, I checked out your website (https://cleanexperts.com)",0,0.0
2025-10-16T13:40:38.375076,Bad Website URL,+12025551012,creation,success,,"Hello Bad Website URL, I build affordable, professional websites for small busin",0,0.0
